@relation pam_big

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric

@data
%
% 17000 instances
%
5.9695,20.0996,28.5991
15.7219,19.6045,26.6409
8.8932,19.9632,29.3655
75.2304,72.1910,100.9346
103.7000,11.2777,47.6782
102.8565,3.2318,47.0360
10.2643,18.1072,30.3558
69.8349,81.4389,97.9335
8.5014,15.3391,26.2763
79.2626,83.3078,95.6751
74.4545,83.8732,102.8866
8.7542,19.2117,32.6280
74.4393,78.4695,102.1125
47.7494,52.1623,67.5256
78.0032,82.7753,98.1141
98.1600,5.5222,53.7014
99.5469,13.3173,49.0533
74.9550,78.2720,101.6232
11.9619,24.0390,30.4541
12.8674,18.9561,28.9418
76.8642,76.6371,97.4093
11.3600,23.4968,33.7434
8.1020,21.0100,28.5505
10.6145,20.4229,23.7566
12.6769,25.3503,30.9028
7.9600,20.4721,27.3850
7.5222,17.2407,29.2208
76.0524,82.4022,98.9849
70.7697,80.1679,102.7921
102.6391,9.3197,44.8148
79.1509,81.6820,100.5816
7.6321,18.1447,28.0857
14.3571,19.6141,27.5193
98.4574,5.8971,50.1050
105.1053,8.5552,54.3883
11.8033,26.3173,29.5843
70.5654,82.4275,101.2841
10.9017,19.9651,31.7998
103.1378,8.3393,49.6680
72.7401,78.0148,99.2140
75.4107,71.2402,98.6271
6.3127,20.3314,32.4645
6.5959,21.4377,29.9554
78.5632,80.2822,100.0250
8.4062,19.1272,28.2774
48.3623,49.6889,75.5985
76.6218,81.5770,103.1200
104.4391,6.6821,54.1318
74.5169,76.0058,101.9440
106.5339,14.7550,48.7035
10.3874,20.9409,25.0426
8.5985,26.3934,28.7421
102.6585,11.3411,53.2415
98.8720,12.7798,51.2298
8.4262,21.8798,28.0630
77.1535,80.2209,101.9171
12.6739,18.4998,27.1555
9.6908,21.9017,34.7107
74.2804,77.6873,97.2346
73.6405,72.1565,93.9709
6.9221,18.1390,33.8849
7.7379,21.9219,29.1120
13.2447,23.0583,30.3676
13.3107,24.1897,26.8732
73.4370,79.4131,100.9905
7.9273,20.7566,34.5837
71.9047,84.4306,98.4435
73.2164,78.5830,101.2149
79.2003,82.6456,95.1253
73.0167,78.5158,100.2988
45.0768,47.4508,69.0760
76.1277,85.5048,102.2339
77.7418,76.2294,94.4698
97.2958,14.5473,43.5182
101.0825,9.1998,51.0685
6.6051,19.2167,36.0727
72.7842,81.2421,100.2526
49.4689,53.0241,69.2136
8.9177,23.6170,35.3525
50.0976,50.6973,69.7170
11.2000,18.5999,31.7988
11.6472,16.4395,27.8889
11.1067,18.1064,31.1358
12.0095,22.5909,29.6719
70.6278,77.9644,98.0881
13.7658,14.9412,25.3407
98.5940,8.2295,48.7893
10.0287,20.8782,33.1097
7.7070,25.6244,28.3555
14.2287,19.8765,37.6010
75.0583,82.6377,102.3010
99.9592,12.5648,51.4142
73.6455,74.2485,97.0984
11.1571,18.9136,26.6856
99.0104,12.1779,50.3734
54.4315,52.0881,65.1437
100.8099,5.5467,50.6965
15.1539,18.2260,29.7638
104.2133,11.4408,48.5769
10.2410,13.0919,29.4862
100.2893,12.3208,51.6539
11.7010,19.5166,31.7373
10.7450,20.0133,34.9440
10.3835,23.8475,29.0267
100.0535,10.3137,53.6186
11.7617,19.3110,25.0662
5.4051,23.1497,33.2671
70.1718,77.7247,100.7416
77.8343,79.5221,103.6550
7.4669,21.0445,28.2870
12.1649,21.3144,32.9449
11.0525,21.1086,29.7966
72.4615,77.5897,98.1986
14.2211,20.2432,28.1102
7.9317,18.1040,32.5453
18.2083,17.6053,36.7643
10.9023,17.0913,34.9729
96.6223,3.4927,47.8857
9.8085,20.3678,32.5065
6.1058,16.7189,28.3695
10.9360,19.7137,29.0546
53.1479,46.5137,71.8107
13.7496,19.5608,31.6917
76.0024,80.0877,96.0241
96.3132,8.7809,48.5332
11.6909,18.4496,27.5735
71.5662,78.2171,97.5699
95.2334,10.1816,50.6733
10.6864,22.5109,28.2374
68.2431,83.2189,99.1115
8.2885,17.1810,28.8868
98.3001,10.6622,48.0074
11.3434,14.9401,28.9205
98.2567,10.6221,48.6303
95.3491,7.6584,54.3114
99.3955,13.6657,50.3015
101.0614,7.5748,50.2167
50.7173,53.1362,69.5667
8.8619,19.7527,35.9889
101.2706,10.1533,51.7237
99.8481,11.1708,50.2170
10.3570,21.4554,28.7057
6.7347,22.4480,34.1443
10.8872,20.6625,33.4855
12.0119,19.9304,30.0287
101.0247,14.8264,48.1863
101.0916,13.1201,51.0690
8.7500,17.7243,27.9651
6.4025,21.6989,29.9985
47.0387,49.2118,68.7468
50.4915,45.0524,73.4459
50.1868,49.2115,71.6249
6.8449,21.1851,29.6151
10.1115,19.8972,33.8701
6.6740,17.8148,29.3017
17.3528,23.2829,29.6042
77.7216,83.7158,101.9547
9.4578,21.6062,36.4114
48.8032,48.1407,75.2873
13.3981,16.2251,29.6825
96.3299,11.2474,53.5271
9.3300,18.2454,32.9187
13.8422,18.5433,27.0812
51.8173,45.9340,65.8763
7.8548,19.4582,23.5338
13.2151,19.7754,35.5842
13.5628,19.4669,31.7762
11.5847,24.0131,29.1410
8.7735,20.4823,23.9652
4.4007,24.0375,29.1561
100.0752,4.1742,47.8748
45.8007,54.6721,68.7696
98.5386,10.4756,51.2072
48.5672,50.6136,65.4700
47.2929,48.8576,69.9434
76.0119,84.2979,98.7271
12.0273,20.7531,26.0994
11.6093,27.4773,33.0330
8.0302,16.4665,29.1834
72.3413,85.5913,96.1788
50.4234,50.1637,73.8550
101.2489,15.5022,50.7670
75.6389,84.0494,101.5815
13.0487,16.1953,32.2467
10.2450,16.9843,30.5233
101.4360,14.1601,52.8340
72.0944,76.0404,96.8698
9.3958,18.3738,30.8149
6.4199,21.1602,29.4521
10.7164,17.0933,27.3394
11.7668,19.2257,34.2371
52.6594,48.0919,69.1247
56.2537,48.6933,70.9626
7.9103,18.7509,29.3504
17.0174,21.4479,33.3798
96.5526,13.3485,57.0392
95.9490,8.1903,52.4267
